Ticker,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,EPS,Market_Cap,Dividend_Yield,Beta,Current_Price,Target_Price,Profit_Margin,Operating_Margin,Quick_Ratio,Revenue_Growth,Upside_Potential,Score
MSCI,38.609867,,,,15.2,45993762816.0,0.0109,1.11,586.87,646.5,0.43065,0.55868,0.828,0.159,10.160682945115607,6
MS,17.85053,2.0710387,,401.015,6.59,189627629568.0,0.0319,1.356,117.635,116.63,0.19205,0.33174,,0.165,-0.8543375696008937,6
CSCO,22.075985,4.9429655,0.22982,70.931,2.54,223508119552.0,0.0287,0.822,56.073,56.78,0.19181,0.20025998,0.705,-0.103,1.26085638364275,6
KO,27.114107,10.620023,0.3723,167.358,2.41,281493209088.0,0.0298,0.608,65.345,74.49,0.2245,0.30218,0.784,-0.008,13.994949881398732,6
CSGP,180.09525,4.1349154,0.02386,14.763,0.42,31009374208.0,,0.814,75.64,90.92,0.06577,0.03422,9.496,0.109,20.20095187731359,6
EMR,39.743244,3.2352457,0.06474,40.34,2.96,67290079232.0,0.0191,1.294,117.64,125.58,0.101160005,0.19155,0.79,0.11,6.749404964297856,6
BSX,70.537186,6.0730042,0.08916,53.722,1.21,125791387648.0,,0.797,85.35,97.09,0.112629995,0.17059,0.847,0.193,13.75512595196251,6
VRSK,43.325886,132.69702,2.65609,1069.413,6.49,39706415104.0,0.0056,0.861,281.185,287.32,0.32650003,0.42975,0.738,0.07,2.181837580240753,6
COR,25.517353,50.100086,1.87717,578.115,9.22,46114803712.0,0.0087,0.437,235.27,258.34,0.00654,0.00949,0.517,0.109,9.805755089896696,6
AMZN,42.606285,8.087503,0.22558,61.175,4.68,2096663756800.0,,1.147,199.3974,228.92,0.080419995,0.109589994,0.827,0.11,14.805910207455053,6
CCI,38.35461,8.883779,0.20527,559.592,2.82,47006121984.0,0.057800002,0.863,108.16,117.24,0.18626,0.36743,0.365,-0.009,8.394970414201186,6
SPGI,43.061836,4.44982,0.099309996,31.362,11.32,151258841088.0,0.0075,1.176,487.46,581.64,0.25792,0.40392,0.787,0.159,19.320559635662416,6
PEP,24.70692,11.840767,0.48819,229.605,6.79,230165037056.0,0.0326,0.539,167.76,182.6,0.1018,0.18011,0.664,-0.006,8.845970433953276,6
WM,32.878048,10.849094,0.35025,208.894,6.56,86566617088.0,0.0139999995,0.751,215.68,232.46,0.12349,0.20093,0.782,0.079,7.780044510385764,6
PCG,17.205128,1.6389838,0.09972,228.678,1.17,52643975168.0,0.002,1.015,20.13,23.05,0.10167,0.20982,0.725,0.132,14.505712866368615,6
PAYX,29.808104,13.066642,0.45672,22.517,4.69,50313740288.0,0.028099999,0.993,139.8,133.54,0.31983998,0.41464,0.599,0.025,-4.477825464949947,6
AFL,15.619614,2.3568978,0.16038,49.275,6.73,58397106176.0,0.0191,0.949,105.12,103.77,0.22015,0.04815,1.394,-0.404,-1.2842465753424737,6
WYNN,11.195875,,,,7.76,9642984448.0,0.0105,,86.88,118.38,0.1337,0.07868,,0.013,36.25690607734806,6
VLTO,31.953703,13.096774,0.5368,143.52,3.24,25603796992.0,0.0034999999,,103.53,114.51,0.15693,0.23667999,1.718,0.047,10.605621558968426,6
UAL,9.508343,2.2937694,0.27245,291.676,8.39,26236084224.0,,1.448,79.775,91.28,0.04936,0.10699,0.694,0.025,14.421811344406144,6
PSA,34.96395,11.220496,0.19163999,97.567,9.64,59020922880.0,0.0361,0.672,337.0525,350.31,0.40367,0.47022998,0.967,0.034,3.9333634967846143,6
ADP,31.06731,22.165562,0.87263,176.65,9.36,118484418560.0,0.019299999,0.801,290.79,294.91,0.19715,0.26488,0.256,0.071,1.4168300147872959,6
UNP,21.398344,8.512351,0.43396,197.154,10.87,141015384064.0,0.0233,1.05,232.6,259.03,0.27326,0.39862,0.56,0.025,11.362854686156476,6
AAPL,36.622757,59.206955,1.5741299,209.059,6.09,3371316019200.0,0.0045,1.239,223.0326,239.54,0.23971,0.31171,0.745,0.061,7.4013395351172795,6
PH,29.324953,6.4972105,0.24641001,78.976,22.2,83765968896.0,0.010199999,1.431,651.014,689.3,0.14468999,0.19524,0.463,0.012,5.8809795181056,6
BRO,29.183924,4.73895,0.18144,58.92,3.67,30627534848.0,0.0057,0.827,107.105,111.45,0.23066,0.28312,0.601,0.099,4.056766724242555,6
CI,29.892992,2.095971,0.07606,80.15,10.56,87804559360.0,0.0179,0.506,315.67,396.35,0.01323,0.027449999,0.603,0.28,25.558336237209755,6
CAT,17.819405,9.581377,0.53475,195.336,21.54,186118389760.0,0.015,1.093,383.83,363.43,0.1626,0.19744,0.762,-0.042,-5.3148529296824005,6
COF,15.630187,1.0883031,0.07479,,10.6,63208574976.0,0.0149,1.446,165.68,167.6,0.16455,0.29713,,0.064,1.1588604538870007,6
NCLH,22.583334,9.970953,0.69788,1256.517,1.14,11320128512.0,,2.718,25.745,27.02,0.0587,0.24628,0.088,0.107,4.952417945232068,6
CTAS,52.70707,20.930605,0.40462002,70.573,3.96,84176568320.0,0.0075,1.311,208.72,208.0,0.16795,0.22427,0.703,0.068,-0.3449597546952843,6
NSC,23.582005,4.129589,0.18303,128.64,10.67,56926507008.0,0.0218,1.305,251.62,275.38,0.19849001,0.49885,0.619,0.027,9.44281058739369,6
NTAP,22.778864,25.684025,1.2042199,285.038,5.11,23836741632.0,0.018,1.219,116.4,132.17,0.17014,0.19468,0.821,0.076,13.548109965635714,6
CFG,16.464706,0.8191236,0.05426,,2.55,18692435968.0,0.0404,1.325,41.985,46.67,0.18229,0.27299,,-0.061,11.158747171608919,6
CME,23.643684,2.8610096,0.12297,12.147,9.5,80883187712.0,0.020599999,0.561,224.615,236.0,0.57435,0.64642996,0.03,0.187,5.068673062796347,6
CPAY,24.016,8.332576,0.3341,265.571,13.75,22928164864.0,,1.224,330.22,364.36,0.26413,0.44412997,0.667,0.029,10.33856217067408,6
C,18.086325,0.6229626,0.03874,,3.51,120065400832.0,0.035,1.434,63.483,73.22,0.11524,0.24599001,,-0.024,15.337964494431588,6
PNW,15.972324,1.583472,0.10266,177.478,5.42,9835390976.0,0.0418,0.516,86.57,91.85,0.12655,0.24952,0.279,0.167,6.099110546378661,6
ORCL,44.12629,43.866257,1.55578,749.978,3.88,474433191936.0,0.0094,1.008,171.21,181.33,0.20396,0.30517998,0.591,0.069,5.910869692190879,6
STX,26.235142,,,,3.87,21476640768.0,0.028800001,1.062,101.53,120.44,0.11342,0.18635,0.63,0.491,18.625036934896077,6
DVA,15.857759,31.444447,0.44884,549.552,9.28,12070651904.0,,0.866,147.16,160.39,0.06534,0.16275999,1.265,0.046,8.990214732264201,6
DAL,8.1227455,2.7514682,0.4067,186.78,7.21,37790883840.0,0.0105,1.358,58.565,63.31,0.07712,0.08452,0.268,0.012,8.10210876803552,6
TMUS,25.84506,4.108563,0.16087,182.272,8.77,263038042112.0,0.015700001,0.508,226.6612,241.45,0.12964,0.23792,0.862,0.047,6.524627946909289,6
MKC,26.797619,3.8996687,0.15067,84.828,2.94,21147707392.0,0.0215,0.76,78.785,85.97,0.11868,0.17282,0.274,-0.003,9.119756298787852,6
ROK,30.452894,9.153532,0.25676,117.229,8.81,30442061824.0,0.0198,1.361,268.29,274.98,0.115600005,0.18,0.602,-0.084,2.4935703902493556,6
ETN,35.80665,6.958065,0.20079,52.594,9.4,133017403392.0,0.0114,1.01,336.5825,359.61,0.15314001,0.19149,0.911,0.079,6.841561875617419,6
GIS,16.2,4.076937,0.24168,139.823,4.2,37773017088.0,0.0352,0.091,68.04,74.8,0.12136,0.175,0.317,-0.012,9.935332157554356,6
HUBB,31.38373,7.27722,0.25344,64.783,13.89,23396044800.0,0.0124,0.9,435.92,455.84,0.1333,0.21149,0.96,0.049,4.56964580657,6
HON,24.251734,7.845936,0.31865,177.821,8.66,136564875264.0,0.0218,1.027,210.02,224.73,0.15015,0.2207,0.972,0.056,7.004094848109688,6
CCL,19.277779,3.3242447,0.20120001,352.355,1.17,30265425920.0,,2.697,22.555,24.09,0.063930005,0.27609,0.202,0.152,6.8055863444912434,6
BK,16.96197,1.4642437,0.08563,,4.47,55127056384.0,0.0251,1.069,75.82,81.31,0.20038,0.33231997,,0.047,7.240833553152215,6
BR,36.908005,11.661015,0.31667998,164.971,5.87,25323352064.0,0.0168,1.058,216.65,217.76,0.10729,0.2584,0.964,0.057,0.5123471036233562,6
CPB,24.727514,3.6706722,0.15203,198.683,1.89,13909084160.0,0.0319,0.174,46.735,51.43,0.05884,0.119490005,0.206,0.109,10.046004065475556,6
EXC,15.7674885,1.4461764,0.0933,173.221,2.43,38500061184.0,0.04,0.604,38.315,43.27,0.106000006,0.19174999,0.579,0.029,12.932271956152963,6
NDAQ,45.888557,3.9542673,0.10888,93.096,1.66,43782193152.0,0.0128,0.961,76.175,81.47,0.13667,0.2571,0.154,0.311,6.951099442074171,6
FFIV,24.36178,4.3190637,0.19117,6.895,9.55,13515859968.0,,1.06,232.655,235.56,0.20126,0.25844,0.983,0.056,1.248629945627644,6
EQIX,81.4127,6.422784,0.08267,140.964,11.11,87273095168.0,0.019,0.703,904.495,960.13,0.12571,0.15682,0.913,0.189,6.150946108049249,6
EMN,13.511394,2.0654714,0.15925,90.817,7.46,11683450880.0,0.0324,1.453,100.795,114.72,0.09471,0.14976,0.756,0.087,13.815169403244209,6
BAC,15.119565,1.1797801,0.08092,,2.76,320189267968.0,0.0252,1.338,41.73,46.18,0.24952,0.30769,,-0.005,10.663791037622827,6
TFX,40.74206,2.1279416,0.05412,42.669,5.04,9536749568.0,0.0066000004,1.156,205.34,246.68,0.07847,0.19570999,1.178,0.024,20.13246323171325,6
PNR,25.4725,4.8118067,0.20408002,49.774,4.0,16835387392.0,0.0092,1.195,101.89,109.56,0.16290002,0.21039,0.828,-0.015,7.5277259789969575,6
EVRG,18.887499,1.4322953,0.07796,144.608,3.2,13898660864.0,0.043,0.604,60.44,64.27,0.13118,0.24420999,0.138,0.069,6.336863004632698,6
AIZ,12.799867,1.987734,0.16811001,41.6,14.99,9937580032.0,0.0150999995,0.563,191.87,218.8,0.06899,0.08917,0.145,0.071,14.035544900192832,6
MPC,7.827478,2.3870215,0.28934,107.202,19.07,49958281216.0,0.0251,1.358,149.27,173.24,0.04828,0.05688,0.867,0.038,16.058149661686883,6
MMC,27.277094,7.9455447,0.32048,106.462,8.12,108919037952.0,0.0147,0.935,221.49,233.56,0.16822,0.20994,0.492,0.059,5.4494559573795565,6
AJG,53.87023,5.0831037,0.10321999,70.273,5.24,61945217024.0,0.0085,0.725,282.28,294.77,0.10988,0.18721001,0.171,0.119,4.42468471021682,6
DOV,17.40009,4.612597,0.2911,59.444,11.01,26282557440.0,0.0109,1.218,191.575,210.15,0.18378,0.17549999,0.761,0.013,9.695941537256969,6
BLK,25.1359,3.7386506,,27.647,40.25,149864054784.0,0.020599999,1.318,1011.72,1080.01,0.31372,0.3985,,0.149,6.749891274265596,6
FITB,14.346667,1.5591943,0.119160004,,3.0,29106618368.0,0.0345,1.237,43.04,46.86,0.27576,0.36917,,-0.031,8.875464684014878,6
AMD,124.911415,4.020105,0.03262,3.927,1.13,229059477504.0,,1.695,141.1499,185.34,0.07516,0.10617,1.575,0.176,31.307213111734413,6
MET,15.783774,1.7476474,0.13260001,151.463,4.93,53879967744.0,0.0277,1.031,77.814,90.86,0.052729998,0.15087,1.349,0.162,16.765620582414485,6
IT,48.729305,61.378838,1.34407,467.324,10.51,39465639936.0,,1.323,512.145,523.52,0.13668999,0.20005,0.773,0.061,2.2210506790069307,6
HBAN,15.018252,1.2339501,0.08545,,1.03,22473226240.0,0.0402,1.067,15.4688,16.7,0.24709,0.37835,,-0.012,7.959247000413727,6
MSI,54.299294,96.22088,2.51541,838.8,8.52,77185646592.0,0.0086,0.977,462.63,458.98,0.14049,0.26027,0.952,0.094,-0.7889674253723222,6
NKE,22.2851,8.316402,0.3798,86.962,3.49,115768090624.0,0.019199999,1.017,77.775,91.91,0.10599,0.104320005,1.417,-0.104,18.174220507875273,6
ROP,40.134315,3.1494396,0.08238,45.241,13.55,58313277440.0,0.0055,1.021,543.82,612.51,0.21784,0.28142,0.384,0.129,12.631017616122975,6
IDXX,40.00434,21.033566,0.59424,61.696,10.37,33969459200.0,,1.333,414.845,489.09,0.22530001,0.37455,0.888,0.066,17.8970458846075,6
ROST,22.872581,9.17864,0.43236,114.299,6.2,47047168000.0,0.0105,1.091,141.81,172.43,0.09824,0.124680005,0.995,0.071,21.592271348988092,6
GDDY,13.4687,66.01888,,1107.373,12.46,23560419328.0,,1.121,167.82,183.28,0.41335,0.22159,0.339,0.073,9.212251221546897,6
JNJ,26.158941,5.421356,0.20889,50.958,6.04,380403974144.0,0.0313,0.518,158.0,175.72,0.16744,0.24516001,0.705,0.052,11.21518987341772,6
KIM,45.29629,1.5668439,0.03829,78.638,0.54,16488020992.0,0.041300002,1.492,24.46,24.66,0.1958,0.33708,3.264,0.138,0.8176614881439059,6
AVGO,140.25203,2.9129868,0.12509,166.032,1.23,805721800704.0,0.0126,1.184,172.51,196.42,0.108830005,0.31765,0.841,0.164,13.860066083125622,6
LIN,34.744698,5.574761,0.1619,54.828,13.2,218380353536.0,0.0121,0.944,458.63,499.25,0.19328,0.2719,0.734,0.025,8.856812681246318,6
GD,22.539635,3.5338545,0.16952999,48.609,13.12,81313832960.0,0.019299999,0.606,295.72,329.59,0.07903,0.10205,0.722,0.104,11.453401866630575,6
KMB,17.429403,34.92214,2.30998,517.798,7.72,44872069120.0,0.0365,0.402,134.555,150.77,0.1297,0.15246001,0.473,-0.035,12.0508342313552,6
HSY,19.910198,9.059221,0.47917998,143.695,9.02,36328902656.0,0.0306,0.361,179.59,194.71,0.1676,0.15658,0.338,-0.167,8.419177014310385,6
GPC,14.985181,3.443543,0.24416,127.177,7.76,16167801856.0,0.0345,0.911,116.285,131.2,0.046690002,0.063319996,0.49,0.025,12.82624586146106,6
NEM,,1.7705606,-0.05159,30.436,-2.19,52351627264.0,0.0219,0.513,45.985,59.56,-0.07141,0.28187,0.629,0.847,29.520495813852342,6
DOC,45.561226,1.823491,0.04085,96.594,0.49,15615066112.0,0.0546,1.121,22.325,24.83,0.12109999,0.16525999,1.429,0.259,11.220604703247483,6
ICE,37.205048,3.309276,0.09408,78.899,4.22,90148831232.0,0.0117,1.09,157.0053,182.13,0.26525998,0.48531,0.027,0.173,16.00245342036224,6
SHW,37.65304,22.771181,0.64452004,291.114,10.03,95114805248.0,0.0076,1.169,377.66,397.02,0.11094,0.18434,0.453,0.007,5.126304083037647,6
JKHY,35.49522,7.3427734,0.22128999,11.377,5.23,13536386048.0,0.0119,0.639,185.64,186.92,0.17233999,0.22437,0.649,0.047,0.6895065718595106,6
LKQ,13.852362,1.572879,0.117740005,92.384,2.71,9758872576.0,0.0319,1.281,37.5399,51.04,0.049039997,0.09235,0.567,0.004,35.962003095373184,6
IRM,160.24359,,0.81127,30119.252,0.78,36664066048.0,0.0234,1.026,124.99,112.29,0.039419997,0.18841,0.657,0.13,-10.16081286502919,6
AOS,19.931398,5.714502,0.29544002,7.471,3.79,10952923136.0,0.018099999,1.149,75.54,82.69,0.14413,0.17793,0.964,-0.037,9.465184008472317,6
ITW,23.074825,23.229557,1.08036,246.05,11.56,78769799168.0,0.0227,1.114,266.745,256.47,0.21663,0.26752,0.902,-0.016,-3.851993476916149,6
JBL,11.474983,8.385882,0.60295,207.887,11.16,14450765824.0,0.0025,1.249,128.0608,143.58,0.048060004,0.05327,0.58,-0.177,12.118618656138347,6
LVS,24.980198,10.677106,0.45166,384.206,2.02,36584808448.0,0.0156,1.127,50.46,58.54,0.1329,0.19202,0.864,-0.04,16.012683313515662,6
AIG,14.240001,1.0931263,0.08733,22.35,5.25,48141774848.0,0.021,1.072,74.76,84.88,-0.01396,0.14224,0.252,-0.108,13.536650615302293,6
MO,9.168075,,,,5.92,91985813504.0,0.0757,0.684,54.275,53.79,0.50511,0.59843,0.274,0.013,-0.8935974205435238,6
AWK,26.968376,2.561557,0.097040005,129.608,5.05,26542673920.0,0.0226,0.691,136.1903,143.37,0.21771999,0.41572,0.457,0.134,5.271814512487305,6
RSG,32.22391,5.6283956,0.18284,114.003,6.26,63169552384.0,0.0116,0.704,201.7217,223.47,0.12458,0.20966,0.566,0.065,10.781338844556632,6
ULTA,15.427711,7.738095,0.54978,82.149,24.9,18099111936.0,,1.316,384.15,397.68,0.10684,0.12899,0.386,0.009,3.5220616946505245,5
VTRS,,0.7076048,-0.03203,88.994,-0.54,13815803904.0,0.0419,0.93,11.575,15.52,-0.04242,0.09495,0.653,-0.031,34.082073434125284,5
VST,88.28467,13.398692,0.12665,232.38,1.37,41553702912.0,0.0077,1.116,120.95,141.93,0.046079997,0.21014,0.377,0.206,17.346010748243067,5
TYL,110.464355,7.8938155,0.077259995,19.597,5.47,25860626432.0,,0.776,604.24,668.59,0.113929994,0.15244001,1.139,0.098,10.649741824440628,5
PKG,27.038416,5.018691,,76.584,8.59,20859688960.0,0.0217,0.786,232.26,228.23,0.09458,0.15043001,,0.127,-1.7351244295186419,5
IR,47.546345,3.8291101,0.08479,47.256,2.05,39281582080.0,0.0008,1.425,97.47,104.96,0.11715999,0.20698999,1.606,0.07,7.684415717656701,5
KKR,32.85273,5.663336,,86.649,4.21,127524306944.0,0.0050999997,1.616,138.31,158.54,0.10939,0.27146998,,0.244,14.626563516737745,5
K,26.99331,7.622061,0.26036,173.603,2.99,27820574720.0,0.028299998,0.394,80.71,16.99,0.07852,0.15002,0.457,-0.007,-78.9493247429067,5
ATO,20.32644,1.7533287,0.090179995,64.648,6.77,21361612800.0,0.0234,0.672,137.61,146.07,0.2509,0.32149,1.36,0.059,6.147809025506845,5
ADI,65.16868,3.0526123,0.04658,23.07,3.32,107421220864.0,0.0164,1.071,216.36,255.27,0.17068,0.2178,1.138,-0.248,17.983915696062127,5
EQT,50.006668,1.0997566,0.018229999,67.324,0.75,22378635264.0,0.0171,1.064,37.505,41.92,0.06797,-0.22052,0.359,0.195,11.771763764831356,5
EIX,23.83918,2.2517123,0.07411,202.126,3.42,31564341248.0,0.0385,0.921,81.53,90.38,0.07632,0.20265,0.492,0.106,10.854900036796256,5
MTCH,16.019566,,,,2.3,9502141440.0,,1.487,36.845,42.7,0.18721001,0.2367,2.28,0.042,15.890894286877465,5
HUM,22.691704,1.781114,0.078379996,75.908,11.45,31285186560.0,0.0139,0.503,259.82,285.73,0.011820001,0.02664,1.404,0.113,9.972288507428239,5
SW,,1.4995675,,77.362,-1.82,27007444992.0,0.0364,1.046,52.005,57.3,0.01345,0.07261,0.781,1.632,10.181713296798378,5
TSLA,69.88461,11.665597,0.20389,18.078,3.64,816575086592.0,,2.297,254.38,219.83,0.13075,0.107889995,1.214,0.078,-13.582042613412993,5
SJM,16.297318,1.5802702,0.10090999,111.438,7.08,12277656576.0,0.038,0.235,115.385,124.08,0.08771,0.16912001,0.206,0.177,7.535641547861505,5
MDT,30.070705,2.388862,0.07948,57.859,2.97,114548998144.0,0.031400003,0.854,89.31,96.07,0.12055001,0.17511,1.347,0.028,7.56914119359533,5
TDY,23.289007,2.2340934,0.103140004,29.147,19.74,21424242688.0,,1.015,459.725,513.84,0.16876,0.18947001,1.218,0.029,11.771167545815441,5
LDOS,21.502844,5.4620852,0.27035,110.135,8.79,25220169728.0,0.0086,0.704,189.01,202.95,0.07366,0.12291,1.03,0.069,7.375271149674623,5
LMT,19.706585,17.854006,0.81037,268.347,27.64,128021217280.0,0.024300002,0.47,544.69,603.83,0.09363,0.12687,1.096,0.013,10.857552002056202,5
RL,19.599998,5.3478503,0.28403,113.316,10.35,12565026816.0,0.0165,1.507,202.86,204.76,0.10272,0.13939999,1.428,0.01,0.9366065266686263,5
PLTR,254.85,25.49775,0.12409,5.552,0.2,114144772096.0,,,50.97,28.85,0.18009001,0.15594,5.546,0.3,-43.39807730037276,5
AKAM,24.948511,3.2123232,0.13906,97.073,4.03,15234803712.0,,0.676,100.5425,118.28,0.16012,0.15471,1.201,0.047,17.641793271502102,5
BKNG,32.93342,,,,147.94,161252753408.0,0.0073,1.402,4872.17,4960.86,0.21846001,0.39766997,1.165,0.089,1.8203387812822491,5
BIIB,15.979186,1.5726144,0.1047,40.656,11.05,25729605632.0,,-0.06,176.57,251.87,0.16812,0.2074,0.68,-0.025,42.64597610013028,5
ACN,30.254587,7.656934,0.26674998,14.127,11.45,216459493376.0,0.0172,1.239,346.415,382.95,0.111940004,0.14597,0.984,0.026,10.546598732733848,5
WBD,,0.5844573,-0.28667,115.663,-4.81,20081141760.0,,1.487,8.19,10.35,-0.29471,-0.06713,0.41,-0.062,26.37362637362637,5
UPS,21.483871,6.7559342,0.31422,155.425,6.2,114096185344.0,0.049000002,0.979,133.2,148.6,0.062480003,0.09229,1.012,0.056,11.561561561561561,5
XYL,35.12069,2.8036613,0.08081,19.84,3.48,29692737536.0,0.0119,1.035,122.22,151.94,0.098529994,0.13498001,1.314,0.013,24.31680576010473,5
YUM,24.889194,,,,5.46,38208917504.0,0.0202,1.082,135.895,146.29,0.21956,0.35961,1.103,0.045,7.649288053276404,5
URI,20.797514,6.083007,0.31401,167.987,38.2,52134703104.0,0.0083,1.683,794.465,783.13,0.17125,0.28482,0.714,0.06,-1.426746300969839,5
ALGN,36.162117,4.015196,0.11401,2.445,5.86,15829063680.0,,1.645,211.91,258.34,0.111490004,0.16604,0.995,0.018,21.910244915294207,5
PWR,58.094093,6.573075,0.12696,70.631,5.42,46478589952.0,0.0011999999,1.011,314.87,330.75,0.03539,0.06442,1.11,0.155,5.043351224314785,5
VMC,42.496876,4.565798,0.11133,49.475,6.4,35917950976.0,0.0068,0.815,271.98,290.82,0.114300005,0.21044001,1.874,-0.083,6.92697992499447,5
KHC,30.13964,0.83691907,0.027999999,41.451,1.11,40452784128.0,0.0479,0.477,33.455,37.28,0.05243,0.21431999,0.448,-0.028,11.433268569720534,5
IEX,34.80031,4.4680514,0.13592,55.059,6.46,17023353856.0,0.0126,0.95,224.81,230.51,0.1535,0.22375,1.963,0.006,2.5354744006049534,5
IBM,30.272264,7.8428516,0.26729,245.112,6.85,191739019264.0,0.0324,0.697,207.365,213.65,0.10222,-0.040760003,0.896,0.015,3.0308875654039946,5
BEN,24.541176,0.8461445,0.0427,26.914,0.85,10922296320.0,0.0615,1.407,20.86,20.13,0.054819997,0.10786,,0.113,-3.4995206136145707,5
CARR,43.40588,4.508738,0.13931,85.607,1.7,66206380032.0,0.0105,1.192,73.79,81.43,0.14003,0.12684,0.513,0.213,10.353706464290546,5
CDW,23.419315,10.861826,0.53360003,278.653,8.18,25529384960.0,0.013099999,1.032,191.57,223.75,0.05327,0.0877,1.221,-0.02,16.798037270971445,5
EXPD,26.07923,7.8696046,0.28525,25.387,4.67,17187979264.0,0.0121,0.96,121.79,116.29,0.07403,0.091809995,1.442,0.089,-4.515970112488709,5
CHRW,36.280273,7.5491395,0.22818,116.88,2.89,12393794560.0,0.0242,0.827,104.85,109.3,0.01956,0.03973,1.355,0.07,4.24415832141154,5
GEN,28.762627,8.360247,0.2766,409.342,0.99,17546436608.0,0.0177,1.061,28.475,30.33,0.16153,0.75975,0.273,0.031,6.51448639157155,5
EA,39.65641,5.4939437,0.13962,29.954,3.9,40563142656.0,0.005,0.788,154.66,161.47,0.14118,0.21481001,1.283,0.058,4.403207034785983,5
GS,15.364889,1.5803372,0.101969995,556.198,34.12,165558157312.0,0.0235,1.35,524.25,546.41,0.24648,0.32743,2.02,0.042,4.226990939437281,5
HST,16.53302,1.8063287,0.10767999,70.94,1.06,25054439424.0,0.046,1.34,17.525,20.83,0.13689,0.16213,4.23,0.051,18.858773181169752,5
HD,26.821115,89.604576,5.13362,1479.819,14.87,396155027456.0,0.0228,1.008,398.83,406.86,0.09713,0.15134,0.253,0.006,2.01338916330267,5
SPG,23.06117,21.174604,0.81232,780.789,7.52,65114525696.0,0.048800003,1.768,173.42,170.57,0.41486,0.51901,0.64,0.048,-1.64340906469842,5
HOLX,24.02259,3.7382236,0.13846,49.407,3.32,18524852224.0,,0.983,79.755,88.51,0.17592,0.23919001,3.069,0.045,10.97736819008215,5
STZ,75.66496,5.4785433,0.07111,149.155,3.14,43142893568.0,0.016900001,0.876,237.588,291.47,0.05687,0.37085998,0.321,0.029,22.678754819266977,5
TMO,35.127354,4.3715844,0.12944001,72.329,15.94,214173220864.0,0.0028,0.777,559.93,657.43,0.14479999,0.18059999,1.126,0.002,17.412890897076426,5
ROL,49.74742,17.73429,0.38792,63.703,0.97,23370137600.0,0.0138,0.696,48.255,50.16,0.14182,0.20932,0.58,0.09,3.947777432390409,5
VLO,11.555849,1.6471725,0.13797,38.593,11.37,41596100608.0,0.032899998,1.376,131.39,153.89,0.028670002,0.01682,1.001,-0.152,17.12459091255043,5
AMT,50.943512,27.194277,0.17691,439.338,4.16,99030220800.0,0.0306,0.832,211.925,241.17,0.09942,0.45165002,0.419,,13.799693287719705,5
IVZ,,0.7421041,-0.00944,5.597,-0.91,7973065728.0,0.0469,1.423,17.74,19.13,-0.030030001,0.19670999,0.75,0.051,7.83540022547915,4
LYV,106.52273,,0.52389,515.464,1.1,27197958144.0,,1.347,117.175,124.56,0.022,0.092810005,0.762,0.07,6.302538937486668,4
WDC,72.96703,1.9732541,0.033239998,,0.91,22955012096.0,,1.381,66.4,91.05,0.02648,0.15403,0.683,,37.1234939759036,4
INCY,855.94446,4.6835485,0.00802,1.151,0.09,14840793088.0,,0.735,77.035,77.34,0.00797,0.14961,1.687,0.238,0.39592393068086373,4
KDP,19.623495,1.769611,0.09052,67.319,1.66,44186361856.0,0.028199999,0.619,32.575,38.28,0.15038,0.23181999,0.282,0.023,17.51343054489638,4
KMI,21.986725,1.8153588,0.083500005,101.433,1.13,55196643328.0,0.047,0.921,24.845,25.43,0.16765,0.27467,0.291,-0.053,2.354598510766759,4
AEP,19.944,2.029717,0.10514,169.394,5.0,53063008256.0,0.0378,0.534,99.72,102.27,0.13488,0.18864,0.32,0.047,2.5571600481347767,4
ORLY,28.762932,,,,40.41,67226734592.0,,0.924,1162.31,1287.24,0.14522,0.20546,0.082,0.038,10.74842339823283,4
LNT,22.503891,2.1298103,0.096540004,153.258,2.57,14840402944.0,0.0334,0.572,57.835,63.08,0.16667,0.45051,0.564,0.004,9.068902913460697,4
REG,34.34906,2.014942,0.0583,66.82,2.12,13297077248.0,0.037100002,1.217,72.82,77.28,0.27096,0.36887002,0.815,0.089,6.124691018950856,4
RTX,34.089336,2.5762823,0.073460005,69.597,3.47,157446356992.0,0.0214,0.543,118.29,129.67,0.05969,0.11991999,0.602,0.492,9.62042438075914,4
PM,20.963434,,,,6.29,205019873280.0,0.0414,0.576,131.86,137.34,0.26417,0.42942002,0.404,0.084,4.155922948581825,4
TFC,,0.9524078,-0.09505,,-4.86,56213835776.0,0.0494,1.038,42.345,46.98,-0.10678001,0.40328,,0.061,10.94580233793836,4
ZBH,20.692616,1.7489443,0.08713,53.611,5.24,21585455104.0,0.0089,1.023,108.4293,124.54,0.14265001,0.17997,0.574,0.04,14.85825325811383,4
FTV,28.656,2.3545651,0.08615,38.261,2.5,24855425024.0,0.0045,1.163,71.64,85.57,0.14355,0.19379999,0.878,0.027,19.444444444444443,4
HLT,50.189766,,,,4.69,57383374848.0,0.0026,1.311,235.39,234.18,0.25069,0.50161,0.707,0.063,-0.5140405284846383,4
FRT,32.726746,3.2401786,0.09324,135.474,3.44,9636015104.0,0.0395,1.256,112.58,122.98,0.24791001,0.35044998,0.341,0.058,9.237875288683606,4
EW,28.211866,5.391967,,9.234,2.36,40107794432.0,,1.128,66.58,75.12,0.65859,0.29113,,-0.085,12.826674677080208,4
